session_id,s_file,v_file,rows,duration_s,dt_mean_ms,dt_std_ms,hz,status
Vta13,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta13.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta13.csv,404,40.40100248138958,100.00248138957816,0.6437281275966673,9.999751867199326,VALID
Vta14,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta14.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta14.csv,2885,288.5,100.0,0.6363906545410923,10.0,VALID
Vta15,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta15.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta15.csv,833,83.3,100.0,0.8406728074767075,10.0,VALID
Vta16,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta16.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta16.csv,11335,1133.5,100.0,0.6473739217250982,10.0,VALID
Vta17,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta17.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta17.csv,4519,453.08626250553345,100.26250553342187,17.62333172974422,9.973818175396149,VALID
Vta19,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta19.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta19.csv,292,29.201003436426117,100.00343642611683,0.7058824108285489,9.999656369196936,VALID
Vta1a,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta1a.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vta1a.csv,25676,2567.5989999610515,99.99996105160662,0.7051624896077635,10.000003894840855,VALID
Vta2,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta2.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta2.csv,10991,1099.0979998180162,99.99981801637853,0.6983667177296338,10.000018198395265,VALID
Vta20,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta20.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta20.csv,3223,322.3,100.0,0.6178595840070366,10.0,VALID
Vta21,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta21.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta21.csv,2079,207.9,100.0,0.576237839891824,10.0,VALID
Vta22,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta22.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta22.csv,1564,156.40100063979526,100.00063979526551,0.590498103610598,9.999936020882783,VALID
Vta23,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta23.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta23.csv,1110,111.0,100.0,0.6454390164031001,10.0,VALID
Vta24,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta24.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta24.csv,1171,117.10100085470086,100.0008547008547,0.6685864315815839,9.999914530645038,VALID
Vta25,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta25.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta25.csv,646,64.5979968992248,99.9968992248062,0.5623783912639597,10.000310087134485,VALID
Vta26,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta26.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta26.csv,1935,193.5,100.0,0.5815146218532793,10.0,VALID
Vta27,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta27.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta27.csv,2540,254.0,100.0,0.5332578389524655,10.0,VALID
Vta28,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta28.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta28.csv,4210,421.0,100.0,0.5820634108133325,10.0,VALID
Vta29,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta29.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta29.csv,23705,2370.277953164557,99.99063291139241,1.1217812934388078,10.000936796611327,VALID
Vta3,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta3.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta3.csv,645,64.5,100.0,0.5897678246195885,10.0,VALID
Vta30,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta30.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta30.csv,17136,1713.6,100.0,0.7316274115901735,10.0,VALID
Vta4,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta4.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta4.csv,1789,178.89899944071587,99.99944071588367,0.5651114205414124,10.000055928724434,VALID
Vta5,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta5.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta5.csv,307,30.7,100.0,0.4917622040778217,10.0,VALID
Vta6,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta6.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta6.csv,1376,137.6,100.0,0.5981790549811835,10.0,VALID
Vta7,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta7.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta7.csv,840,84.0,100.0,0.660479834243403,10.0,VALID
Vta8,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta8.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta8.csv,3676,367.6,100.0,0.6606531503247476,10.0,VALID
Vta9,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vta9.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vta9.csv,156,15.597987096774194,99.98709677419355,0.6323238938738498,10.001290489095368,VALID
Vtb1,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb1.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb1.csv,32459,3901.7624524479666,120.2058736389897,4024.250336301481,8.31906103859173,VALID
Vtb11,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb11.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb11.csv,361,36.1,100.0,0.8498365855987975,10.0,VALID
Vtb12,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb12.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb12.csv,447,44.70100224215246,100.00224215246637,0.7071032263766851,9.999775789780498,VALID
Vtb2,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb2.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb2.csv,5712,571.2,100.0,0.6498791019390482,10.0,VALID
Vtb3,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb3.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb3.csv,8240,824.0,100.0,0.6602842113162767,10.0,VALID
Vtb4,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb4.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb4.csv,556,55.6,100.0,0.5631315273691547,10.0,VALID
Vtb5,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb5.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb5.csv,64388,6438.801000015531,100.00001553108547,0.8643267564029528,9.999998446891695,VALID
Vtb6,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb6.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb6.csv,498,49.8,100.0,1.1662593904422671,10.0,VALID
Vtb7,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb7.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb7.csv,461,46.101002173913045,100.00217391304348,0.7024767148964047,9.999782613421447,VALID
Vtb8,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb8.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb8.csv,668,66.8,100.0,0.9276689685132454,10.0,VALID
Vtb9,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vtb9.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-vtb9.csv,452,45.198997782705106,99.99778270509978,0.6936483813514169,10.000221734406528,VALID
Vw10,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw10.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw10.csv,652,65.2,100.0,0.6811032885753389,10.0,VALID
Vw11,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw11.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw11.csv,4909,490.9,100.0,0.7802576215521512,10.0,VALID
Vw12,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw12.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw12.csv,918,91.8,100.0,0.6554860342618467,10.0,VALID
Vw13,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw13.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw13.csv,284,28.4,100.0,0.7280352571744352,10.0,VALID
Vw14a,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw14a.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw14a.csv,3138,313.8,100.0,0.7549644429832117,10.0,VALID
Vw14b,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw14b.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw14b.csv,19588,1958.8010000510542,100.00005105427068,0.755064923159475,9.999994894575538,VALID
Vw14c,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw14c.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw14c.csv,15826,1582.6,100.0,0.7551403623331523,10.0,VALID
Vw16a,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw16a.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw16a.csv,5879,587.8989998298741,99.99982987410684,0.7164284965882735,10.00001701261826,VALID
Vw16b,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw16b.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw16b.csv,1126,112.6010008888889,100.0008888888889,0.7099290174915681,9.999911111901227,VALID
Vw17,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw17.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw17.csv,329,32.90100304878048,100.0030487804878,0.7428458610170889,9.999695131245998,VALID
Vw3,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw3.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw3.csv,3861,386.1010002590674,100.00025906735752,0.7423181274320034,9.999974093331364,VALID
Vw5,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw5.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw5.csv,1012,101.20100098911968,100.00098911968348,0.7025451897918175,9.99990108901,VALID
Vw6,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw6.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw6.csv,1281,128.1,100.0,0.6696547617989437,10.0,VALID
Vw7,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw7.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw7.csv,1602,160.19899937539037,99.99937539038102,0.7126059430710464,10.000062461352037,VALID
Vw8,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Vw8.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Vw8.csv,1529,152.9,100.0,0.7423254814559771,10.0,VALID
Y1,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\S-Dataset\S-Y1.csv,data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset\V-Dataset\V-Y1.csv,70285,7028.394994023989,99.99850599735348,0.8752597553304513,10.00014940249673,VALID
